t	i	j	DateTime
1560403180	FANA	EWINE	13/06/2019 07:19
1560403180	ARIELLE	ATMOSPHERE	13/06/2019 07:19
1560403200	KALI	PIPO	13/06/2019 07:20
1560403200	FANA	EWINE	13/06/2019 07:20
1560403200	ARIELLE	ATMOSPHERE	13/06/2019 07:20
1560403220	ARIELLE	ATMOSPHERE	13/06/2019 07:20
1560403220	KALI	PIPO	13/06/2019 07:20
1560403220	FANA	EWINE	13/06/2019 07:20
1560403220	FELIPE	HARLEM	13/06/2019 07:20
1560403240	KALI	PIPO	13/06/2019 07:20
1560403240	ARIELLE	ATMOSPHERE	13/06/2019 07:20
1560403240	FANA	EWINE	13/06/2019 07:20
1560403240	FELIPE	HARLEM	13/06/2019 07:20
1560403260	KALI	PIPO	13/06/2019 07:21
1560403260	FANA	EWINE	13/06/2019 07:21
1560403260	ARIELLE	ATMOSPHERE	13/06/2019 07:21
1560403280	KALI	PIPO	13/06/2019 07:21
1560403280	FANA	EWINE	13/06/2019 07:21
1560403280	ARIELLE	ATMOSPHERE	13/06/2019 07:21
1560403300	ARIELLE	ATMOSPHERE	13/06/2019 07:21
1560403300	KALI	PIPO	13/06/2019 07:21
1560403300	FANA	EWINE	13/06/2019 07:21
1560403320	KALI	PIPO	13/06/2019 07:22
1560403320	ARIELLE	ATMOSPHERE	13/06/2019 07:22
1560403320	FANA	EWINE	13/06/2019 07:22
1560403340	FANA	EWINE	13/06/2019 07:22
1560403340	ARIELLE	ATMOSPHERE	13/06/2019 07:22
1560403340	KALI	PIPO	13/06/2019 07:22
1560403360	KALI	PIPO	13/06/2019 07:22
1560403360	FANA	EWINE	13/06/2019 07:22
1560403360	ARIELLE	ATMOSPHERE	13/06/2019 07:22
1560403380	FANA	EWINE	13/06/2019 07:23
1560403380	ARIELLE	ATMOSPHERE	13/06/2019 07:23
1560403380	KALI	PIPO	13/06/2019 07:23
1560403400	ARIELLE	ATMOSPHERE	13/06/2019 07:23
1560403400	FELIPE	HARLEM	13/06/2019 07:23
1560403400	KALI	PIPO	13/06/2019 07:23
1560403400	FANA	EWINE	13/06/2019 07:23
1560403420	ARIELLE	ATMOSPHERE	13/06/2019 07:23
1560403420	FELIPE	HARLEM	13/06/2019 07:23
1560403420	KALI	PIPO	13/06/2019 07:23
1560403420	FANA	EWINE	13/06/2019 07:23
1560403420	FEYA	PETOULETTE	13/06/2019 07:23
1560403440	KALI	PIPO	13/06/2019 07:24
1560403440	FANA	EWINE	13/06/2019 07:24
1560403440	FEYA	PETOULETTE	13/06/2019 07:24
1560403440	FELIPE	HARLEM	13/06/2019 07:24
1560403440	ARIELLE	ATMOSPHERE	13/06/2019 07:24
1560403460	FEYA	PETOULETTE	13/06/2019 07:24
1560403460	FANA	EWINE	13/06/2019 07:24
1560403460	ARIELLE	ATMOSPHERE	13/06/2019 07:24
1560403460	KALI	PIPO	13/06/2019 07:24
1560403480	KALI	PIPO	13/06/2019 07:24
1560403480	ARIELLE	ATMOSPHERE	13/06/2019 07:24
1560403480	FELIPE	HARLEM	13/06/2019 07:24
1560403480	FANA	EWINE	13/06/2019 07:24
